13_201203	jan-fev-mar 2012
13_201204	fev-mar-abr 2012
13_201205	mar-abr-mai 2012
13_201206	abr-mai-jun 2012
13_201207	mai-jun-jul 2012
13_201208	jun-jul-ago 2012
13_201209	jul-ago-set 2012
13_201210	ago-set-out 2012
13_201211	set-out-nov 2012
13_201212	out-nov-dez 2012
13_201301	nov-dez-jan 2013
13_201302	dez-jan-fev 2013
13_201303	jan-fev-mar 2013
13_201304	fev-mar-abr 2013
13_201305	mar-abr-mai 2013
13_201306	abr-mai-jun 2013
13_201307	mai-jun-jul 2013
13_201308	jun-jul-ago 2013
13_201309	jul-ago-set 2013
13_201310	ago-set-out 2013
13_201311	set-out-nov 2013
13_201312	out-nov-dez 2013
13_201401	nov-dez-jan 2014
13_201402	dez-jan-fev 2014
13_201403	jan-fev-mar 2014
13_201404	fev-mar-abr 2014
13_201405	mar-abr-mai 2014
13_201406	abr-mai-jun 2014
13_201407	mai-jun-jul 2014
13_201408	jun-jul-ago 2014
13_201409	jul-ago-set 2014
13_201410	ago-set-out 2014
13_201411	set-out-nov 2014
13_201412	out-nov-dez 2014
13_201501	nov-dez-jan 2015
13_201502	dez-jan-fev 2015
13_201503	jan-fev-mar 2015
13_201504	fev-mar-abr 2015
13_201505	mar-abr-mai 2015
13_201506	abr-mai-jun 2015
13_201507	mai-jun-jul 2015
13_201508	jun-jul-ago 2015
13_201509	jul-ago-set 2015
13_201510	ago-set-out 2015
13_201511	set-out-nov 2015
13_201512	out-nov-dez 2015
13_201601	nov-dez-jan 2016
13_201602	dez-jan-fev 2016
13_201603	jan-fev-mar 2016
13_201604	fev-mar-abr 2016
13_201605	mar-abr-mai 2016
13_201606	abr-mai-jun 2016
13_201607	mai-jun-jul 2016
13_201608	jun-jul-ago 2016
13_201609	jul-ago-set 2016
13_201610	ago-set-out 2016
13_201611	set-out-nov 2016
13_201612	out-nov-dez 2016
13_201701	nov-dez-jan 2017
13_201702	dez-jan-fev 2017
13_201703	jan-fev-mar 2017
13_201704	fev-mar-abr 2017
13_201705	mar-abr-mai 2017
13_201706	abr-mai-jun 2017
13_201707	mai-jun-jul 2017
13_201708	jun-jul-ago 2017
13_201709	jul-ago-set 2017
13_201710	ago-set-out 2017
13_201711	set-out-nov 2017
13_201712	out-nov-dez 2017
13_201801	nov-dez-jan 2018
13_201802	dez-jan-fev 2018
13_201803	jan-fev-mar 2018
13_201804	fev-mar-abr 2018
13_201805	mar-abr-mai 2018
13_201806	abr-mai-jun 2018
13_201807	mai-jun-jul 2018
13_201808	jun-jul-ago 2018
13_201809	jul-ago-set 2018
13_201810	ago-set-out 2018
13_201811	set-out-nov 2018
13_201812	out-nov-dez 2018
13_201901	nov-dez-jan 2019
13_201902	dez-jan-fev 2019
13_201903	jan-fev-mar 2019
13_201904	fev-mar-abr 2019
13_201905	mar-abr-mai 2019
13_201906	abr-mai-jun 2019
13_201907	mai-jun-jul 2019
13_201908	jun-jul-ago 2019
13_201909	jul-ago-set 2019
13_201910	ago-set-out 2019
13_201911	set-out-nov 2019
13_201912	out-nov-dez 2019
13_202001	nov-dez-jan 2020
13_202002	dez-jan-fev 2020
13_202003	jan-fev-mar 2020
13_202004	fev-mar-abr 2020
13_202005	mar-abr-mai 2020
13_202006	abr-mai-jun 2020
13_202007	mai-jun-jul 2020
13_202008	jun-jul-ago 2020
13_202009	jul-ago-set 2020
13_202010	ago-set-out 2020
13_202011	set-out-nov 2020
13_202012	out-nov-dez 2020
